fighter1,fighter2,fight_outcome,fighter1_Weight,fighter1_Reach,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Weight,fighter2_Reach,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg,fighter1_Wins,fighter1_Losses,fighter1_Draws,fighter2_Wins,fighter2_Losses,fighter2_Draws,fighter1_Height_in,fighter2_Height_in,fighter1_Age,fighter2_Age,fighter1_Stance_Open stance,fighter1_Stance_Orthodox,fighter1_Stance_Southpaw,fighter1_Stance_Switch,fighter2_Stance_Open stance,fighter2_Stance_Orthodox,fighter2_Stance_Southpaw,fighter2_Stance_Switch,diff_TDAcc,diff_StrAcc,diff_SubAvg,diff_StrDef,diff_Age,diff_SApM,diff_SLpM,diff_Reach,diff_TDAvg,diff_Height_in,diff_Draws,diff_TDDef,diff_Weight,diff_Wins,diff_Losses
Roland Delorme,Michinori Tanaka,0,135.0,71,2.28,44,4.32,40,2.51,34,42,1.6,135.0,67,1.97,37,1.99,50,2.4,38,43,0.2,9,5,0,11,3,0,69.0,65.0,41.0,34.0,False,True,False,False,False,True,False,False,-4,7,1.4000000000000001,-10,7.0,2.33,0.30999999999999983,4,0.10999999999999988,4.0,0,-1,0.0,-2,2
Yves Jabouin,Mike Easton,1,135.0,68,3.06,41,2.93,62,1.94,60,82,0.1,135.0,70,3.51,37,4.28,61,0.75,22,66,0.0,20,11,0,13,6,0,67.0,66.0,45.0,41.0,False,True,False,False,False,False,True,False,38,4,0.1,1,4.0,-1.35,-0.44999999999999973,-2,1.19,1.0,0,16,0.0,7,5
Daniel Sarafian,Kiichi Kunimoto,0,185.0,73,2.23,46,3.1,58,0.36,7,53,0.7,170.0,71,1.87,44,3.92,41,1.59,20,28,0.3,10,6,0,18,7,2,69.0,70.0,42.0,43.0,False,True,False,False,False,True,False,False,-13,2,0.39999999999999997,17,-1.0,-0.8199999999999998,0.3599999999999999,2,-1.23,-1.0,-2,25,15.0,-8,-1
Cub Swanson,Jeremy Stephens,1,145.0,70,4.79,51,4.0,59,1.01,50,63,0.4,145.0,71,3.17,40,3.05,58,1.16,38,65,0.4,30,14,0,28,19,0,68.0,69.0,41.0,38.0,False,True,False,False,False,True,False,False,12,11,0.0,1,3.0,0.9500000000000002,1.62,-1,-0.1499999999999999,-1.0,0,-2,0.0,2,-5
Kajan Johnson,Tae Hyun Bang,0,155.0,75,2.47,42,1.59,64,1.54,37,62,0.2,155.0,71,2.72,38,2.07,66,0.49,33,57,0.5,23,13,1,18,10,0,71.0,69.0,40.0,41.0,False,True,False,False,False,False,False,True,4,4,-0.3,-2,-1.0,-0.47999999999999976,-0.25,4,1.05,2.0,1,5,0.0,5,3
Ovince Saint Preux,Ryan Jimmo,1,205.0,80,3.03,47,3.33,47,1.09,36,67,0.5,205.0,73,3.12,66,2.77,46,0.45,28,87,0.0,27,18,0,19,5,0,75.0,73.0,41.0,43.0,False,False,True,False,False,True,False,False,8,-19,0.5,1,-2.0,0.56,-0.0900000000000003,7,0.6400000000000001,2.0,0,-20,0.0,8,13
Andrei Arlovski,Brendan Schaub,1,240.0,77,3.82,45,3.22,57,0.37,35,76,0.2,245.0,78,2.92,37,2.22,57,2.32,46,72,0.4,34,24,0,10,5,0,75.0,76.0,46.0,42.0,False,True,False,False,False,True,False,False,-11,8,-0.2,0,4.0,1.0,0.8999999999999999,-1,-1.9499999999999997,-1.0,0,4,-5.0,24,19
Ryan Bader,Rafael Cavalcante,1,205.0,74,2.82,43,1.39,71,3.37,44,80,0.4,205.0,74,2.71,53,3.62,49,0.6,40,63,0.1,23,5,0,12,7,0,74.0,73.0,41.0,44.0,False,True,False,False,False,True,False,False,4,-10,0.30000000000000004,22,-3.0,-2.2300000000000004,0.10999999999999988,0,2.77,1.0,0,17,0.0,11,-2
Rory MacDonald,Tyron Woodley,1,170.0,76,3.75,42,2.8,62,1.77,47,88,0.4,170.0,74,2.36,48,2.76,54,1.06,40,87,0.4,19,4,0,19,7,1,72.0,69.0,35.0,42.0,False,True,False,False,False,True,False,False,7,-6,0.0,8,-7.0,0.040000000000000036,1.3900000000000001,2,0.71,3.0,-1,1,0.0,0,-3
Demetrious Johnson,Ali Bagautinov,1,125.0,66,3.43,54,1.66,67,3.35,56,65,0.5,125.0,65,2.85,42,3.09,52,2.51,36,65,0.3,27,3,1,15,6,0,63.0,64.0,38.0,39.0,False,True,False,False,False,True,False,False,20,12,0.2,15,-1.0,-1.43,0.5800000000000001,1,0.8400000000000003,-1.0,1,0,0.0,12,-3
